"County","Index","Level"
"南投縣",4751.67122580482,5
"台中市",2228.24273092599,3
"台北市",1073.1713186972,2
"台南市",2385.07592910226,3
"台東縣",4764.97484022099,5
"嘉義市",204.868903242839,1
"嘉義縣",3112.32366392201,4
"基隆市",36.6824208579532,1
"宜蘭縣",3450.97991691499,4
"屏東縣",2645.40418016862,3
"彰化縣",581.156744662687,1
"新北市",3563.80928117237,4
"新竹市",139.861168488731,1
"新竹縣",1880.74881939449,2
"桃園縣",486.626265788655,1
"花蓮縣",3143.81322001727,4
"苗栗縣",855.206871144538,1
"雲林縣",250.028001022559,1
"高雄市",1060.09933971909,2
