name_code,Kingdom_C,Phylum_C,Class_C,Order_C,Family_C,Genus_C,Species,ForestConservation,Unusual,ScientificName_C,ScientificName,Latitude,Longitude,Country_C,County_C,iPrecision ,InstitutionCode,CollectedDateTime
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.54,120.76,,,10,Forestry bureau,2006/2/24 21:6
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.52,120.7,,,10,Forestry bureau,2006/2/27 9:41
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.54,120.76,,,10,Forestry bureau,2006/2/8 16:51
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.52,120.78,,,10,Forestry bureau,2006/4/15 20:34
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.51,120.76,,,10,Forestry bureau,2006/5/11 7:12
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.52,120.78,,,10,Forestry bureau,2006/5/14 3:37
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.55,120.72,,,10,Forestry bureau,2006/5/16 20:35
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.53,120.73,,,10,Forestry bureau,2006/5/16 22:46
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.54,120.76,,,10,Forestry bureau,2006/6/9 1:27
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.52,120.7,,,10,Forestry bureau,2006/7/21 20:37
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.4,120.74,,,10,Forestry bureau,2006/7/29 19:34
